"Disorder","Brain Region","Volume Beta Coefficient","Holm--Bonferroni p-value"
"ADHD","ctx-lh-isthmuscingulate",-1.42749778956675,"1"
"ADHD","ctx-lh-lateraloccipital",3.85632183908043,"1"
"ADHD","ctx-lh-lateralorbitofrontal",-8.0740495137047,"1"
"ADHD","ctx-lh-lingual",-1.49137931034483,"1"
"ADHD","ctx-lh-medialorbitofrontal",-5.13218390804598,"1"
"ADHD","ctx-lh-middletemporal",10.6671087533157,"1"
"ADHD","ctx-lh-parahippocampal",-1.11405835543767,"1"
"ADHD","ctx-lh-paracentral",1.77519893899205,"1"
"ADHD","ctx-lh-parsopercularis",-4.44208664898321,"1"
"ADHD","ctx-lh-parsorbitalis",1.22259062776304,"1"
"ADHD","ctx-lh-parstriangularis",0.49292661361627,"1"
"ADHD","ctx-lh-pericalcarine",1.18589743589744,"1"
"ADHD","ctx-lh-postcentral",-4.53337754199827,"1"
"ADHD","ctx-lh-posteriorcingulate",-2.55415561450044,"1"
"ADHD","ctx-lh-precentral",-0.59350132625996,"1"
"ADHD","ctx-lh-precuneus",3.77829354553494,"1"
"ADHD","ctx-lh-rostralanteriorcingulate",-5.02409372236959,"1"
"ADHD","ctx-lh-rostralmiddlefrontal",-3.04442970822282,"1"
"ADHD","ctx-lh-superiorfrontal",2.48032714412027,"1"
"ADHD","ctx-lh-superiorparietal",-6.24115826702036,"1"
"ADHD","ctx-lh-superiortemporal",0.0316091954023027,"1"
"ADHD","ctx-lh-supramarginal",-20.5864279398762,"1"
"ADHD","ctx-lh-transversetemporal",-0.665119363395228,"1"
"ADHD","ctx-lh-insula",-2.46794871794873,"1"
"ADHD","ctx-rh-caudalanteriorcingulate",-1.91887709991158,"1"
"ADHD","ctx-rh-caudalmiddlefrontal",7.02917771883291,"1"
"ADHD","ctx-rh-cuneus",4.46087533156499,"1"
"ADHD","ctx-rh-entorhinal",-1.40495137046861,"1"
"ADHD","ctx-rh-fusiform",0.0477453580901916,"1"
"ADHD","ctx-rh-inferiorparietal",-21.0123784261716,"1"
"ADHD","ctx-rh-inferiortemporal",4.96706454465077,"1"
"ADHD","ctx-rh-isthmuscingulate",1.17838196286472,"1"
"ADHD","ctx-rh-lateraloccipital",4.78625110521658,"1"
"ADHD","ctx-rh-lateralorbitofrontal",-3.40915119363394,"1"
"ADHD","ctx-rh-lingual",-10.4080459770115,"1"
"ADHD","ctx-rh-medialorbitofrontal",-1.89876215738286,"1"
"ADHD","ctx-rh-middletemporal",-0.952475685234285,"1"
"ADHD","ctx-rh-parahippocampal",0.016578249336872,"1"
"ADHD","ctx-rh-paracentral",0.290671971706449,"1"
"ADHD","ctx-rh-parsopercularis",-3.89655172413794,"1"
"ADHD","ctx-rh-parsorbitalis",1.52298850574712,"1"
"ADHD","ctx-rh-parstriangularis",1.03514588859416,"1"
"ADHD","ctx-rh-pericalcarine",-0.677718832891248,"1"
"ADHD","ctx-rh-postcentral",-3.20070733863837,"1"
"ADHD","ctx-rh-posteriorcingulate",-2.3921308576481,"1"
"ADHD","ctx-rh-precentral",-8.51812555260831,"1"
"ADHD","ctx-rh-precuneus",1.26149425287355,"1"
"ADHD","ctx-rh-rostralanteriorcingulate",-2.21374889478339,"1"
"ADHD","ctx-rh-rostralmiddlefrontal",4.65627763041555,"1"
"ADHD","ctx-rh-superiorfrontal",-4.61958443855005,"1"
"ADHD","ctx-rh-superiorparietal",-14.5937223695844,"1"
"ADHD","ctx-rh-superiortemporal",-2.18037135278517,"1"
"ADHD","ctx-rh-supramarginal",-11.9909372236958,"1"
"ADHD","ctx-rh-transversetemporal",-1.19650751547304,"1"
"ADHD","ctx-rh-insula",-1.04442970822281,"1"
