,brain_region_1,value,SPI,brain_region_2
71,proc-71,0.26206994774677034,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
72,proc-72,0.19869583046306158,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
73,proc-73,0.12382704368058262,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
74,proc-74,0.1184252979915269,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
75,proc-75,0.2112414811441373,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
76,proc-76,0.11469078662230484,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
77,proc-77,0.15686315537556342,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
78,proc-78,0.1428879762732882,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
79,proc-79,0.16317186981631931,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
80,proc-80,0.08170530305544202,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
81,proc-81,0.18004938526286235,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
82,proc-0,0.08870588282155925,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
83,proc-1,,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
84,proc-2,0.18117880093633282,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
85,proc-3,0.22529199997539773,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
86,proc-4,0.1614830458723818,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
87,proc-5,0.14095275141049618,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
88,proc-6,0.1271509643693745,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
89,proc-7,0.11029628656284689,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
90,proc-8,0.1116226281830968,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
