"Site_Number","Analysis","Model","Balanced Accuracy","SD"
20,"SPI_Combo","di_gaussian",57.3,15.2
20,"SPI_Combo","dtw_constraint-itakura",55.2,14.7
20,"SPI_Combo","pec",45.9,15.3
20,"SPI_Combo","phi_star_t-1_norm-0",48.8,14.7
20,"SPI_Combo","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5",43,13.6
20,"SPI_Combo","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean",50.4,14
20,"SPI_Combo","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5",44.4,14
20,"SPI_Combo","te_kraskov_NN-4_DCE_k-max-10_tau-max-4",51.4,15.7
5,"Univariate_Combo","Combo",52.4,16.5
20,"Univariate_Combo","Combo",48,15.4
5,"catch25_feature","CO_Embed2_Dist_tau_d_expfit_meandiff",59.8,16.6
5,"catch25_feature","CO_FirstMin_ac",43.7,15.2
5,"catch25_feature","CO_HistogramAMI_even_2_5",51.6,17.6
5,"catch25_feature","CO_f1ecac",58,17.7
5,"catch25_feature","CO_trev_1_num",57.5,15.4
5,"catch25_feature","DN_HistogramMode_10",49.8,18.3
5,"catch25_feature","DN_HistogramMode_5",50.9,18.5
5,"catch25_feature","DN_Mean",51.2,18.2
5,"catch25_feature","DN_OutlierInclude_n_001_mdrmd",55.9,16.9
5,"catch25_feature","DN_OutlierInclude_p_001_mdrmd",54.5,18.9
5,"catch25_feature","DN_Spread_Std",44.5,16.9
5,"catch25_feature","FC_LocalSimple_mean1_tauresrat",34.3,15
5,"catch25_feature","FC_LocalSimple_mean3_stderr",53.3,17.4
5,"catch25_feature","IN_AutoMutualInfoStats_40_gaussian_fmmi",52.6,17
5,"catch25_feature","MD_hrv_classic_pnn40",52.9,18.8
5,"catch25_feature","PD_PeriodicityWang_th0_01",46.3,17.1
5,"catch25_feature","SB_BinaryStats_diff_longstretch0",58.9,18
5,"catch25_feature","SB_BinaryStats_mean_longstretch1",56.5,16.9
5,"catch25_feature","SB_MotifThree_quantile_hh",47.7,17.9
5,"catch25_feature","SB_TransitionMatrix_3ac_sumdiagcov",45.1,16
